RA,CÓDIFO DE TURMA,TURMA INDEFERIDA,MOTIVO,NOME_TURMA,TURNO,CAMPOS,ANO_INGRESSO
11000116,NAMCTA009-13SA,"Computadores, Ética e Sociedade A-Noturno (Santo André)",Critério de preenchimento de vagas,"Computadores, Ética e Sociedade",N,SA,2016
11000212,NAESTA014-17SA,Sistemas CAD/CAM A-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas CAD/CAM,N,SA,2012
11000216,NA1BIR0603-15SA,"Ciência, Tecnologia e Sociedade A1-Noturno (Santo André)",Critério de preenchimento de vagas,"Ciência, Tecnologia e Sociedade",N,SA,2016
11000313,NAESTG003-17SB,Economia de Empresas A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Economia de Empresas,N,SB,2013
11000313,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André),Critério de preenchimento de vagas,Mecânica dos Sólidos I,N,SA,2013
11000313,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André),Critério de preenchimento de vagas,Princípios de Administração,D,SA,2013
11000313,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2013
11000313,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2013
11000315,NA3MCTA024-13SA,Sistemas Digitais A3-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Digitais,N,SA,2015
11000316,NAESZU002-17SA,Compostagem A-Noturno (Santo André),Critério de preenchimento de vagas,Compostagem,N,SA,2016
11000316,NB1ESTO902-17SA,Engenharia Unificada I B1-Noturno (Santo André),Critério de preenchimento de vagas,Engenharia Unificada I,N,SA,2016
11000316,NAESZU034-17SA,Ecologia do Ambiente Urbano A-Noturno (Santo André),Critério de preenchimento de vagas,Ecologia do Ambiente Urbano,N,SA,2016
11000417,NA6BCS0001-15SA,Base Experimental das Ciências Naturais A6-Noturno (Santo André),Critério de preenchimento de vagas,Base Experimental das Ciências Naturais,N,SA,2017
11000417,DA2ESTO902-17SA,Engenharia Unificada I A2-Matutino (Santo André),Critério de preenchimento de vagas,Engenharia Unificada I,D,SA,2017
11000417,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2017
11000611,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2011
11000614,NAESTG013-17SB,Pesquisa Operacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Pesquisa Operacional,N,SB,2014
11000614,NABHQ0001-15SB,Identidade e Cultura A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Identidade e Cultura,N,SB,2014
11000617,DAESTG023-17SB,Organização do Trabalho A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Organização do Trabalho,D,SB,2017
11000617,DAESTG025-17SB,Propriedade Intelectual A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Propriedade Intelectual,D,SB,2017
11000617,DAESTG014-17SB,Planejamento e Controle da Produção A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Planejamento e Controle da Produção,D,SB,2017
11000715,DAESTG020-17SB,Sistemas e Processos de Produção A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas e Processos de Produção,D,SB,2015
